x,tarefa,tempo
10,cargadetrabalho1,5
10,cargadetrabalho2,1
10,cargadetrabalho3,2
10,bubblesort,4
10,bucketsort,449
10,countingsort,868
10,insertosort,2
10,quicksort,4
10,mergesort,7
10,radixsort,7
10,selectionsort,3
10,shellsort,3
20,cargadetrabalho1,12
20,cargadetrabalho2,1
20,cargadetrabalho3,2
20,bubblesort,12
20,bucketsort,404
20,countingsort,538
20,insertosort,3
20,quicksort,7
20,mergesort,9
20,radixsort,8
20,selectionsort,7
20,shellsort,4
30,cargadetrabalho1,29
30,cargadetrabalho2,1
30,cargadetrabalho3,4
30,bubblesort,19
30,bucketsort,2127
30,countingsort,1002
30,insertosort,8
30,quicksort,15
30,mergesort,23
30,radixsort,13
30,selectionsort,15
30,shellsort,6
60,cargadetrabalho1,89
60,cargadetrabalho2,1
60,cargadetrabalho3,4
60,bubblesort,170
60,bucketsort,368
60,countingsort,655
60,insertosort,22
60,quicksort,21
60,mergesort,33
60,radixsort,21
60,selectionsort,33
60,shellsort,16
80,cargadetrabalho1,121
80,cargadetrabalho2,1
80,cargadetrabalho3,5
80,bubblesort,131
80,bucketsort,435
80,countingsort,571
80,insertosort,36
80,quicksort,34
80,mergesort,53
80,radixsort,28
80,selectionsort,66
80,shellsort,23
100,cargadetrabalho1,173
100,cargadetrabalho2,1
100,cargadetrabalho3,4
100,bubblesort,306
100,bucketsort,467
100,countingsort,948
100,insertosort,74
100,quicksort,43
100,mergesort,68
100,radixsort,34
100,selectionsort,91
100,shellsort,32
150,cargadetrabalho1,356
150,cargadetrabalho2,1
150,cargadetrabalho3,7
150,bubblesort,473
150,bucketsort,406
150,countingsort,624
150,insertosort,141
150,quicksort,65
150,mergesort,111
150,radixsort,52
150,selectionsort,194
150,shellsort,53
200,cargadetrabalho1,798
200,cargadetrabalho2,1
200,cargadetrabalho3,11
200,bubblesort,797
200,bucketsort,346
200,countingsort,535
200,insertosort,224
200,quicksort,84
200,mergesort,140
200,radixsort,65
200,selectionsort,316
200,shellsort,72
400,cargadetrabalho1,2624
400,cargadetrabalho2,1
400,cargadetrabalho3,17
400,bubblesort,2772
400,bucketsort,485
400,countingsort,716
400,insertosort,803
400,quicksort,161
400,mergesort,231
400,radixsort,106
400,selectionsort,1436
400,shellsort,179
600,cargadetrabalho1,7780
600,cargadetrabalho2,1
600,cargadetrabalho3,24
600,bubblesort,7504
600,bucketsort,443
600,countingsort,612
600,insertosort,2254
600,quicksort,284
600,mergesort,527
600,radixsort,181
600,selectionsort,3556
600,shellsort,439
1000,cargadetrabalho1,21586
1000,cargadetrabalho2,1
1000,cargadetrabalho3,42
1000,bubblesort,18709
1000,bucketsort,460
1000,countingsort,664
1000,insertosort,4900
1000,quicksort,371
1000,mergesort,639
1000,radixsort,261
1000,selectionsort,6493
1000,shellsort,428
2000,cargadetrabalho1,50030
2000,cargadetrabalho2,0
2000,cargadetrabalho3,47
2000,bubblesort,82163
2000,bucketsort,1615
2000,countingsort,1531
2000,insertosort,25957
2000,quicksort,863
2000,mergesort,1861
2000,radixsort,765
2000,selectionsort,30913
2000,shellsort,1107
4000,cargadetrabalho1,253073
4000,cargadetrabalho2,1
4000,cargadetrabalho3,177
4000,bubblesort,208875
4000,bucketsort,613
4000,countingsort,1071
4000,insertosort,138565
4000,quicksort,869
4000,mergesort,1971
4000,radixsort,477
4000,selectionsort,76658
4000,shellsort,1749
5000,cargadetrabalho1,260202
5000,cargadetrabalho2,0
5000,cargadetrabalho3,97
5000,bubblesort,375826
5000,bucketsort,327
5000,countingsort,379
5000,insertosort,71624
5000,quicksort,2512
5000,mergesort,3864
5000,radixsort,1217
5000,selectionsort,160954
5000,shellsort,2539
5000,cargadetrabalho1,266259
5000,cargadetrabalho2,0
5000,cargadetrabalho3,93
5000,bubblesort,417141
5000,bucketsort,598
5000,countingsort,930
5000,insertosort,120381
5000,quicksort,1699
5000,mergesort,3151
5000,radixsort,859
5000,selectionsort,128722
5000,shellsort,1376
7000,cargadetrabalho1,678171
7000,cargadetrabalho2,0
7000,cargadetrabalho3,169
7000,bubblesort,865930
7000,bucketsort,725
7000,countingsort,963
7000,insertosort,250777
7000,quicksort,4345
7000,mergesort,13082
7000,radixsort,6331
7000,selectionsort,233937
7000,shellsort,1656
9999,cargadetrabalho1,1785585
9999,cargadetrabalho2,1
9999,cargadetrabalho3,446
9999,bubblesort,1726958
9999,bucketsort,959
9999,countingsort,1798
9999,insertosort,527901
9999,quicksort,4487
9999,mergesort,9531
9999,radixsort,2352
9999,selectionsort,501804
9999,shellsort,6079
4,cargadetrabalho1,3
4,cargadetrabalho2,1
4,cargadetrabalho3,1
4,bubblesort,2
4,bucketsort,358
4,countingsort,620
4,insertosort,1
4,quicksort,2
4,mergesort,2
4,radixsort,4
4,selectionsort,1
4,shellsort,1
4,cargadetrabalho1,2
4,cargadetrabalho2,1
4,cargadetrabalho3,1
4,bubblesort,1
4,bucketsort,585
4,countingsort,659
4,insertosort,2
4,quicksort,2
4,mergesort,3
4,radixsort,5
4,selectionsort,2
4,shellsort,2
4,cargadetrabalho1,2
4,cargadetrabalho2,2
4,cargadetrabalho3,1
4,bubblesort,2
4,bucketsort,333
4,countingsort,486
4,insertosort,1
4,quicksort,3
4,mergesort,2
4,radixsort,4
4,selectionsort,1
4,shellsort,1
4,cargadetrabalho1,3
4,cargadetrabalho2,1
4,cargadetrabalho3,3
4,bubblesort,4
4,bucketsort,1159
4,countingsort,952
4,insertosort,2
4,quicksort,2
4,mergesort,3
4,radixsort,5
4,selectionsort,1
4,shellsort,2
4,cargadetrabalho1,2
4,cargadetrabalho2,1
4,cargadetrabalho3,1
4,bubblesort,2
4,bucketsort,340
4,countingsort,488
4,insertosort,1
4,quicksort,1
4,mergesort,2
4,radixsort,4
4,selectionsort,1
4,shellsort,2
