x,tarefa,tempo
10,cargatrabalho1,5
10,cargadetrabalho2,1
10,cargadetrabalho3,2
10,bubblesort,5
10,bucketsort,289
10,countingsort,620
10,insertosort,3
10,quicksort,3
10,mergesort,6
10,radixsort,4
10,selectionsort,3
10,shellsort,3
20,cargatrabalho1,16
20,cargadetrabalho2,1
20,cargadetrabalho3,3
20,bubblesort,20
20,bucketsort,306
20,countingsort,604
20,insertosort,7
20,quicksort,6
20,mergesort,10
20,radixsort,10
20,selectionsort,6
20,shellsort,5
30,cargatrabalho1,24
30,cargadetrabalho2,1
30,cargadetrabalho3,5
30,bubblesort,31
30,bucketsort,293
30,countingsort,597
30,insertosort,13
30,quicksort,7
30,mergesort,16
30,radixsort,13
30,selectionsort,10
30,shellsort,7
60,cargatrabalho1,85
60,cargadetrabalho2,1
60,cargadetrabalho3,3
60,bubblesort,99
60,bucketsort,406
60,countingsort,823
60,insertosort,61
60,quicksort,9
60,mergesort,18
60,radixsort,8
60,selectionsort,15
60,shellsort,8
80,cargatrabalho1,173
80,cargadetrabalho2,1
80,cargadetrabalho3,4
80,bubblesort,174
80,bucketsort,206
80,countingsort,413
80,insertosort,85
80,quicksort,19
80,mergesort,40
80,radixsort,26
80,selectionsort,60
80,shellsort,17
100,cargatrabalho1,241
100,cargadetrabalho2,1
100,cargadetrabalho3,5
100,bubblesort,272
100,bucketsort,1885
100,countingsort,1428
100,insertosort,172
100,quicksort,35
100,mergesort,74
100,radixsort,44
100,selectionsort,125
100,shellsort,36
150,cargatrabalho1,509
150,cargadetrabalho2,1
150,cargadetrabalho3,6
150,bubblesort,593
150,bucketsort,294
150,countingsort,478
150,insertosort,248
150,quicksort,33
150,mergesort,110
150,radixsort,56
150,selectionsort,145
150,shellsort,39
200,cargatrabalho1,370
200,cargadetrabalho2,0
200,cargadetrabalho3,3
200,bubblesort,895
200,bucketsort,243
200,countingsort,489
200,insertosort,430
200,quicksort,49
200,mergesort,114
200,radixsort,90
200,selectionsort,287
200,shellsort,47
400,cargatrabalho1,3072
400,cargadetrabalho2,1
400,cargadetrabalho3,12
400,bubblesort,2994
400,bucketsort,299
400,countingsort,551
400,insertosort,1627
400,quicksort,100
400,mergesort,240
400,radixsort,185
400,selectionsort,1148
400,shellsort,119
600,cargatrabalho1,8470
600,cargadetrabalho2,2
600,cargadetrabalho3,20
600,bubblesort,7206
600,bucketsort,346
600,countingsort,663
600,insertosort,6660
600,quicksort,151
600,mergesort,658
600,radixsort,300
600,selectionsort,4764
600,shellsort,255
1000,cargatrabalho1,20912
1000,cargadetrabalho2,1
1000,cargadetrabalho3,31
1000,bubblesort,20788
1000,bucketsort,419
1000,countingsort,1426
1000,insertosort,20388
1000,quicksort,365
1000,mergesort,857
1000,radixsort,378
1000,selectionsort,8688
1000,shellsort,311
2000,cargatrabalho1,66623
2000,cargadetrabalho2,1
2000,cargadetrabalho3,53
2000,bubblesort,76168
2000,bucketsort,435
2000,countingsort,634
2000,insertosort,40069
2000,quicksort,505
2000,mergesort,1183
2000,radixsort,1183
2000,selectionsort,27680
2000,shellsort,707
4000,cargatrabalho1,368828
4000,cargadetrabalho2,0
4000,cargadetrabalho3,71
4000,bubblesort,215777
4000,bucketsort,253
4000,countingsort,329
4000,insertosort,91602
4000,quicksort,811
4000,mergesort,2144
4000,radixsort,2000
4000,selectionsort,77135
4000,shellsort,786
5000,cargatrabalho1,517258
5000,cargadetrabalho2,0
5000,cargadetrabalho3,96
5000,bubblesort,444960
5000,bucketsort,513
5000,countingsort,898
5000,insertosort,264949
5000,quicksort,1352
5000,mergesort,2567
5000,radixsort,1398
5000,selectionsort,180163
5000,shellsort,2186
5000,cargatrabalho1,456617
5000,cargadetrabalho2,1
5000,cargadetrabalho3,126
5000,bubblesort,419224
5000,bucketsort,553
5000,countingsort,940
5000,insertosort,266980
5000,quicksort,1225
5000,mergesort,3222
5000,radixsort,2614
5000,selectionsort,162439
5000,shellsort,1626
7000,cargatrabalho1,1122181
7000,cargadetrabalho2,1
7000,cargadetrabalho3,196
7000,bubblesort,1004627
7000,bucketsort,613
7000,countingsort,1058
7000,insertosort,444785
7000,quicksort,1984
7000,mergesort,5254
7000,radixsort,4403
7000,selectionsort,334065
7000,shellsort,2247
9999,cargatrabalho1,1886778
9999,cargadetrabalho2,0
9999,cargadetrabalho3,208
9999,bubblesort,1516229
9999,bucketsort,443
9999,countingsort,468
9999,insertosort,737651
9999,quicksort,2302
9999,mergesort,6654
9999,radixsort,4473
9999,selectionsort,573311
9999,shellsort,3839
