x,tarefa,tempo
10,cargatrabalho1,4
10,cargadetrabalho2,1
10,cargadetrabalho3,2
10,bubblesort,3
10,bucketsort,332
10,countingsort,659
10,insertosort,1
10,quicksort,3
10,mergesort,6
10,radixsort,4
10,selectionsort,14
10,shellsort,2
20,cargatrabalho1,9
20,cargadetrabalho2,1
20,cargadetrabalho3,3
20,bubblesort,6
20,bucketsort,293
20,countingsort,579
20,insertosort,2
20,quicksort,7
20,mergesort,15
20,radixsort,13
20,selectionsort,17
20,shellsort,4
30,cargatrabalho1,11
30,cargadetrabalho2,1
30,cargadetrabalho3,2
30,bubblesort,29
30,bucketsort,300
30,countingsort,579
30,insertosort,2
30,quicksort,7
30,mergesort,15
30,radixsort,39
30,selectionsort,18
30,shellsort,4
60,cargatrabalho1,36
60,cargadetrabalho2,2
60,cargadetrabalho3,3
60,bubblesort,41
60,bucketsort,398
60,countingsort,852
60,insertosort,4
60,quicksort,16
60,mergesort,40
60,radixsort,27
60,selectionsort,52
60,shellsort,10
80,cargatrabalho1,63
80,cargadetrabalho2,1
80,cargadetrabalho3,5
80,bubblesort,55
80,bucketsort,306
80,countingsort,517
80,insertosort,3
80,quicksort,18
80,mergesort,43
80,radixsort,28
80,selectionsort,63
80,shellsort,12
100,cargatrabalho1,90
100,cargadetrabalho2,1
100,cargadetrabalho3,4
100,bubblesort,86
100,bucketsort,345
100,countingsort,646
100,insertosort,4
100,quicksort,17
100,mergesort,39
100,radixsort,22
100,selectionsort,93
100,shellsort,11
150,cargatrabalho1,144
150,cargadetrabalho2,1
150,cargadetrabalho3,5
150,bubblesort,193
150,bucketsort,309
150,countingsort,547
150,insertosort,5
150,quicksort,33
150,mergesort,87
150,radixsort,64
150,selectionsort,147
150,shellsort,19
200,cargatrabalho1,370
200,cargadetrabalho2,1
200,cargadetrabalho3,7
200,bubblesort,404
200,bucketsort,350
200,countingsort,565
200,insertosort,7
200,quicksort,54
200,mergesort,133
200,radixsort,107
200,selectionsort,340
200,shellsort,33
400,cargatrabalho1,975
400,cargadetrabalho2,1
400,cargadetrabalho3,13
400,bubblesort,984
400,bucketsort,245
400,countingsort,462
400,insertosort,12
400,quicksort,76
400,mergesort,184
400,radixsort,167
400,selectionsort,1113
400,shellsort,64
600,cargatrabalho1,2161
600,cargadetrabalho2,1
600,cargadetrabalho3,15
600,bubblesort,2387
600,bucketsort,327
600,countingsort,522
600,insertosort,17
600,quicksort,133
600,mergesort,321
600,radixsort,260
600,selectionsort,2330
600,shellsort,121
1000,cargatrabalho1,7393
1000,cargadetrabalho2,1
1000,cargadetrabalho3,37
1000,bubblesort,7543
1000,bucketsort,412
1000,countingsort,746
1000,insertosort,30
1000,quicksort,305
1000,mergesort,635
1000,radixsort,449
1000,selectionsort,9308
1000,shellsort,294
2000,cargatrabalho1,25437
2000,cargadetrabalho2,1
2000,cargadetrabalho3,72
2000,bubblesort,38735
2000,bucketsort,609
2000,countingsort,1137
2000,insertosort,92
2000,quicksort,369
2000,mergesort,1189
2000,radixsort,1027
2000,selectionsort,30654
2000,shellsort,457
4000,cargatrabalho1,98481
4000,cargadetrabalho2,1
4000,cargadetrabalho3,187
4000,bubblesort,125846
4000,bucketsort,618
4000,countingsort,799
4000,insertosort,81
4000,quicksort,1529
4000,mergesort,2895
4000,radixsort,2482
4000,selectionsort,139846
4000,shellsort,808
5000,cargatrabalho1,172616
5000,cargadetrabalho2,1
5000,cargadetrabalho3,210
5000,bubblesort,146213
5000,bucketsort,419
5000,countingsort,548
5000,insertosort,94
5000,quicksort,644
5000,mergesort,1808
5000,radixsort,1551
5000,selectionsort,107588
5000,shellsort,1143
5000,cargatrabalho1,184600
5000,cargadetrabalho2,1
5000,cargadetrabalho3,132
5000,bubblesort,169230
5000,bucketsort,742
5000,countingsort,869
5000,insertosort,139
5000,quicksort,1024
5000,mergesort,3073
5000,radixsort,2918
5000,selectionsort,164023
5000,shellsort,1302
7000,cargatrabalho1,329016
7000,cargadetrabalho2,1
7000,cargadetrabalho3,231
7000,bubblesort,347384
7000,bucketsort,752
7000,countingsort,1398
7000,insertosort,229
7000,quicksort,1715
7000,mergesort,5477
7000,radixsort,6010
7000,selectionsort,302743
7000,shellsort,2223
9999,cargatrabalho1,680788
9999,cargadetrabalho2,0
9999,cargadetrabalho3,162
9999,bubblesort,571001
9999,bucketsort,1112
9999,countingsort,1456
9999,insertosort,239
9999,quicksort,2132
9999,mergesort,7154
9999,radixsort,9807
9999,selectionsort,447589
9999,shellsort,3360
