x,tarefa,tempo
10,cargatrabalho1,4
10,cargadetrabalho2,1
10,cargadetrabalho3,2
10,bubblesort,3
10,bucketsort,438
10,countingsort,552
10,insertosort,3
10,quicksort,5
10,mergesort,6
10,radixsort,6
10,selectionsort,,3
10,shellsort,2
20,cargatrabalho1,9
20,cargadetrabalho2,1
20,cargadetrabalho3,2
20,bubblesort,7
20,bucketsort,282
20,countingsort,478
20,insertosort,4
20,quicksort,6
20,mergesort,9
20,radixsort,8
20,selectionsort,5
20,shellsort,4
30,cargatrabalho1,19
30,cargadetrabalho2,1
30,cargadetrabalho3,2
30,bubblesort,16
30,bucketsort,379
30,countingsort,557
30,insertosort,7
30,quicksort,13
30,mergesort,19
30,radixsort,14
30,selectionsort,12
30,shellsort,7
40,cargatrabalho1,28
40,cargadetrabalho2,1
40,cargadetrabalho3,2
40,bubblesort,26
40,bucketsort,283
40,countingsort,489
40,insertosort,10
40,quicksort,13
40,mergesort,18
40,radixsort,13
40,selectionsort,15
40,shellsort,9
50,cargatrabalho1,41
50,cargadetrabalho2,1
50,cargadetrabalho3,3
50,bubblesort,39
50,bucketsort,301
50,countingsort,487
50,insertosort,14
50,quicksort,15
50,mergesort,23
50,radixsort,16
50,selectionsort,22
50,shellsort,13
60,cargatrabalho1,68
60,cargadetrabalho2,1
60,cargadetrabalho3,4
60,bubblesort,112
60,bucketsort,450
60,countingsort,755
60,insertosort,25
60,quicksort,28
60,mergesort,39
60,radixsort,21
60,selectionsort,34
60,shellsort,18
70,cargatrabalho1,105
70,cargadetrabalho2,1
70,cargadetrabalho3,5
70,bubblesort,138
70,bucketsort,330
70,countingsort,621
70,insertosort,32
70,quicksort,26
70,mergesort,39
70,radixsort,24
70,selectionsort,45
70,shellsort,20
90,cargatrabalho1,204
90,cargadetrabalho2,1
90,cargadetrabalho3,5
90,bubblesort,154
90,bucketsort,402
90,countingsort,492
90,insertosort,44
90,quicksort,30
90,mergesort,43
90,radixsort,26
90,selectionsort,62
90,shellsort,21
100,cargatrabalho1,165
100,cargadetrabalho2,1
100,cargadetrabalho3,4
100,bubblesort,163
100,bucketsort,287
100,countingsort,483
100,insertosort,56
100,quicksort,32
100,mergesort,49
100,radixsort,32
100,selectionsort,79
100,shellsort,26
100,cargatrabalho1,251
100,cargadetrabalho2,1
100,cargadetrabalho3,6
100,bubblesort,232
100,bucketsort,539
100,countingsort,590
100,insertosort,70
100,quicksort,42
100,mergesort,67
100,radixsort,35
100,selectionsort,95
100,shellsort,34
300,cargatrabalho1,916
300,cargadetrabalho2,0
300,cargadetrabalho3,8
300,bubblesort,1679
300,bucketsort,364
300,countingsort,347
300,insertosort,253
300,quicksort,57
300,mergesort,100
300,radixsort,41
300,selectionsort,530
300,shellsort,76
500,cargatrabalho1,4266
500,cargadetrabalho2,1
500,cargadetrabalho3,18
500,bubblesort,5112
500,bucketsort,340
500,countingsort,537
500,insertosort,1146
500,quicksort,181
500,mergesort,304
500,radixsort,155
500,selectionsort,1718
500,shellsort,192
600,cargatrabalho1,8206
600,cargadetrabalho2,1
600,cargadetrabalho3,22
600,bubblesort,5749
600,bucketsort,308
600,countingsort,510
600,insertosort,1864
600,quicksort,237
600,mergesort,432
600,radixsort,251
600,selectionsort,2942
600,shellsort,295
800,cargatrabalho1,15229
800,cargadetrabalho2,2
800,cargadetrabalho3,98
800,bubblesort,20850
800,bucketsort,489
800,countingsort,1108
800,insertosort,3836
800,quicksort,301
800,mergesort,518
800,radixsort,221
800,selectionsort,5335
800,shellsort,609
1000,cargatrabalho1,33248
1000,cargadetrabalho2,1
1000,cargadetrabalho3,37
1000,bubblesort,16192
1000,bucketsort,414
1000,countingsort,675
1000,insertosort,4989
1000,quicksort,650
1000,mergesort,906
1000,radixsort,527
1000,selectionsort,9821
1000,shellsort,558
3000,cargatrabalho1,128796
3000,cargadetrabalho2,0
3000,cargadetrabalho3,62
3000,bubblesort,147805
3000,bucketsort,395
3000,countingsort,683
3000,insertosort,35160
3000,quicksort,690
3000,mergesort,1660
3000,radixsort,442
3000,selectionsort,58441
3000,shellsort,731
5000,cargatrabalho1,216708
5000,cargadetrabalho2,0
5000,cargadetrabalho3,106
5000,bubblesort,234097
5000,bucketsort,233
5000,countingsort,321
5000,insertosort,60932
5000,quicksort,966
5000,mergesort,1837
5000,radixsort,639
5000,selectionsort,145382
5000,shellsort,2574
7000,cargatrabalho1,623278
7000,cargadetrabalho2,1
7000,cargadetrabalho3,230
7000,bubblesort,749432
7000,bucketsort,493
7000,countingsort,710
7000,insertosort,245319
7000,quicksort,2414
7000,mergesort,5767
7000,radixsort,1817
7000,selectionsort,226345
7000,shellsort,3355
9999,cargatrabalho1,886395
9999,cargadetrabalho2,0
9999,cargadetrabalho3,131
9999,bubblesort,1050523
9999,bucketsort,1039
9999,countingsort,1726
9999,insertosort,388260
9999,quicksort,2682
9999,mergesort,5053
9999,radixsort,1793
9999,selectionsort,,516325
9999,shellsort,2619
